RelativeHumidity,Temperature_Celsius,Pressure_Millibar,MoonInfo_Phase,MoonInfo_Illumination,MoonInfo_Age,Precipitation_Hour_Cm,Precipitation_Year_Cm,Precipitation_Month_Cm,Precipitation_Week_Cm,Precipitation_Day_Cm,Wind_X,Wind_Y,Wind_Gust_KilometersPerHour,MoonInfo_PhaseName_First Quarter,MoonInfo_PhaseName_Full Moon,MoonInfo_PhaseName_New Moon,MoonInfo_PhaseName_Third Quarter,MoonInfo_PhaseName_Waning Crescent,MoonInfo_PhaseName_Waning Gibbous,MoonInfo_PhaseName_Waxing Crescent,MoonInfo_PhaseName_Waxing Gibbous,CurrentConditions_/ Broken Sky,CurrentConditions_/ Overcast Sky,CurrentConditions_/ Scattered,CurrentConditions_Broken Sky,CurrentConditions_Clear Skies,CurrentConditions_Drizzle,CurrentConditions_Dry,CurrentConditions_Fog,"CurrentConditions_Freezing, Fog",CurrentConditions_Haze,"CurrentConditions_In The Vicinity, Thunderstorms","CurrentConditions_In The Vicinity, Thunderstorms, Rain",CurrentConditions_Light Drizzle,CurrentConditions_Light Rain,CurrentConditions_Light Snow,"CurrentConditions_Light Thunderstorms, Rain",CurrentConditions_Mist,CurrentConditions_Overcast Sky,CurrentConditions_Rain,CurrentConditions_Scattered,CurrentConditions_Snow,CurrentConditions_Strong Drizzle,CurrentConditions_Strong Rain,CurrentConditions_Strong Snow,"CurrentConditions_Strong Thunderstorms, Rain",CurrentConditions_Thunderstorms,"CurrentConditions_Thunderstorms, Rain",Preassure_Millibar,day_sin,day_cos,year_sin,year_cos
0.509,13,1015.92,0.5463872867481452,0.9789126937625076,16.14,0.0,11.28,0.0,3.86,0.0,-7.28757737229034,-1.2849965147352855,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.92,-1.0791998005927151e-05,0.9999999999417664,-0.0036338954932250323,0.9999933973799748
0.368,27,1015.58,0.5544029020570569,0.971072489883209,16.37,0.0,11.28,0.0,3.86,0.0,-15.491181393445602,-18.461671079167367,42.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1015.58,-8.060721394118006e-06,0.9999999999675124,-0.008801424671084693,0.9999612667117458
0.303,28,1012.87,0.5623766330324756,0.9620879436081976,16.61,0.0,11.28,0.0,3.86,0.0,-21.86273211687102,-3.854989544205856,37.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.87,-5.329444782248728e-06,0.9999999999857985,-0.013968718812265765,0.9999024326876818
0.468,23,1013.89,0.5703094498618421,0.9519987434363096,16.84,0.0,11.28,0.0,3.86,0.0,-22.646592160940397,-8.242685454148615,33.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.89,-2.598168170339693e-06,0.9999999999966248,-0.003511800726278239,0.9999938336088172
0.53,21,1012.87,0.5782024918339819,0.940845819422685,17.07,0.0,11.28,0.0,3.86,0.0,-12.817175976009691,-7.400000000000002,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.87,1.331084415887234e-07,0.9999999999999911,-0.00867933378863237,0.9999623338731242
0.371,28,1013.89,0.5860570630481361,0.9286710775551285,17.31,0.0,11.28,0.0,3.86,0.0,-11.10000000000001,-19.225763964014533,38.9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.89,2.864385053516147e-06,0.9999999999958976,-0.013846635074670474,0.9999041307530983
0.614,26,1011.52,0.5938746279225205,0.9155171562071908,17.54,0.0,11.28,0.0,3.86,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.52,5.5956616654222025e-06,0.9999999999843443,-0.0033897059069799,0.9999942549304291
0.692,24,1013.89,0.6016568066351913,0.9014272056076528,17.77,0.0,11.28,0.0,3.86,0.0,4.497487801573486,-25.50652080301619,40.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1013.89,-2.2190639845796053e-05,0.9999999997537877,-0.008557242776794418,0.9999633861277417
1.0,18,1012.19,0.6094053706053484,0.8864446908678167,18.0,0.61,11.28,0.0,3.86,0.0,-1.2849965147352844,-7.28757737229034,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1012.19,-1.9459363234457813e-05,0.9999999998106666,-0.013724551130658928,0.9999058139126215
0.783,23,1013.89,0.6171222380930323,0.8706132187933564,18.22,0.0,11.28,0.0,3.86,0.0,-9.958577760546714,-8.35623892592501,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1013.89,-1.6728086622974408e-05,0.9999999998600856,-0.003267611037150122,0.9999946613448043
0.832,22,1012.19,0.6248094699700565,0.8539763884572487,18.45,0.0,11.28,0.0,3.86,0.0,-7.28757737229034,1.2849965147352842,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1012.19,-1.3996810011366213e-05,0.9999999999020447,-0.00843515163739089,0.9999644234755826
